UNIT PROCEDURE,SAMPLING POINT,PARAMETER NAME,PARAMETER DETAIL,RUN NUMBER,BATCH NUMBER,DATE OF MANUFACTURE,PROCESS START,PARAMETER DATE,LOCAL ID,VALUE_TEXT(Reported),VALUE_NUM(Recorded Full precision),UOM,LAL,UAL,LCL,UCL,LRL,URL,CL,NEL 1,NEL 2,NEL 3,NEL 4,PPK,REP,CONTROL_PRECISION,ACTION_PRECISION,REJECTION_PRECISION,SCALE,SUMMARY TABLE,DISPOSITION_DATE,RESULT_TYPE,SOURCE_SYSTEM,CTRL_VIOLATION,ACTION_VIOLATION,REJ_VIOLATION
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010022046,0010022046,1/29/2009 0:00,1/29/2009 0:00,1/29/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010024089,0010024089,1/31/2009 0:00,1/31/2009 0:00,1/31/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010024090,0010024090,2/5/2009 0:00,2/5/2009 0:00,2/5/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010024091,0010024091,2/7/2009 0:00,2/7/2009 0:00,2/7/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010024092,0010024092,3/16/2009 0:00,3/16/2009 0:00,3/16/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030138,0010030138,3/18/2009 0:00,3/18/2009 0:00,3/18/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030140,0010030140,4/8/2009 0:00,4/8/2009 0:00,4/8/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030139,0010030139,4/17/2009 0:00,4/17/2009 0:00,4/17/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030141,0010030141,5/29/2009 0:00,5/29/2009 0:00,5/29/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010041811,0010041811,9/21/2009 0:00,9/21/2009 0:00,9/21/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030142,0010030142,9/23/2009 0:00,9/23/2009 0:00,9/23/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010042272,0010042272,9/25/2009 0:00,9/25/2009 0:00,9/25/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010041814,0010041814,10/22/2009 0:00,10/22/2009 0:00,10/22/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030143,0010030143,10/24/2009 0:00,10/24/2009 0:00,10/24/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010041815,0010041815,11/16/2009 0:00,11/16/2009 0:00,11/16/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010030144,0010030144,12/4/2009 0:00,12/4/2009 0:00,12/4/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010041816,0010041816,12/11/2009 0:00,12/11/2009 0:00,12/11/2009 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
DSM-NC-PRDS-000377-DSM,.,Appearance/Color A0221,PRDS-000377,0010042273,0010042273,1/9/2010 0:00,1/9/2010 0:00,1/9/2010 0:00,.,"Clear, colorless liquid",0,.,"Clear, col",.,.,.,.,.,.,NO,NO,NO,NO,Y,E,.,.,.,LIN,.,.,TEXT,AML-LIMS,.,.,.
