unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,LAL,UAL,LCL,UCL,lrl,ucl.1,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation,spec status,ctrl status
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000444,10340208,10340208,7/11/2017 0:00,7/9/2017 0:00,7/11/2017 0:00,.,139.48,139.48,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000443,10340209,10340209,7/13/2017 0:00,7/10/2017 0:00,7/13/2017 0:00,.,138.12,138.12,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000443,10344080,10344080,7/18/2017 0:00,7/18/2017 0:00,7/18/2017 0:00,.,139.79,139.79,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000444,10340210,10340210,7/19/2017 0:00,7/17/2017 0:00,7/19/2017 0:00,.,139.09,139.09,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000443,10340211,10340211,7/25/2017 0:00,7/17/2017 0:00,7/25/2017 0:00,.,136.72,136.72,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000449,10345848,10345848,7/31/2017 0:00,7/31/2017 0:00,7/31/2017 0:00,.,138.88,138.88,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000449,10344209,10344209,8/2/2017 0:00,7/27/2017 0:00,8/2/2017 0:00,.,140.11,140.11,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000444,10349699,10349699,9/14/2017 0:00,9/13/2017 0:00,9/14/2017 0:00,.,138.39,138.39,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000443,10350648,10350648,9/25/2017 0:00,9/23/2017 0:00,9/25/2017 0:00,.,138.81,138.81,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000443,10354042,10354042,10/2/2017 0:00,10/2/2017 0:00,10/2/2017 0:00,.,139.03,139.03,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000449,10350651,10350651,10/4/2017 0:00,9/25/2017 0:00,10/4/2017 0:00,.,139.93,139.93,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000444,10352209,10352209,10/5/2017 0:00,9/27/2017 0:00,10/5/2017 0:00,.,139.17,139.17,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000449,10352210,10352210,10/9/2017 0:00,10/2/2017 0:00,10/9/2017 0:00,.,139.74,139.74,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
IEDL:ADL9-DP-ADL,.,Chloride,PRDS-000449,10352211,10352211,10/10/2017 0:00,10/4/2017 0:00,10/10/2017 0:00,.,138.54,138.54,mM,110.0,170.0,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,0,
