UNIT PROCEDURE,SAMPLING POINT,PARAMETER NAME,PARAMETER DETAIL,RUN NUMBER,BATCH NUMBER,DATE OF MANUFACTURE,PROCESS START,PARAMETER DATE,LOCAL ID,VALUE_TEXT(Reported),VALUE_NUM(Recorded Full precision),UOM,LAL,UAL,LCL,UCL,LRL,URL,CL,NEL 1,NEL 2,NEL 3,NEL 4,PPK,REP,CONTROL_PRECISION,ACTION_PRECISION,REJECTION_PRECISION,SCALE,SUMMARY TABLE,DISPOSITION_DATE,RESULT_TYPE,SOURCE_SYSTEM,CTRL_VIOLATION,ACTION_VIOLATION,REJ_VIOLATION
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010254676,0010254676-PRDS-000745,2015/08/21 00:00:00,2015/08/21 00:00:00,2015/08/21 00:00:00,.,89.929,89.929,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010267008,0010267008-PRDS-000745,2015/11/11 00:00:00,2015/11/11 00:00:00,2015/11/11 00:00:00,.,90.847,90.847,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010267863,0010267863-PRDS-000745,2015/11/17 00:00:00,2015/11/17 00:00:00,2015/11/17 00:00:00,.,90.041,90.041,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010266787,0010266787-PRDS-000745,2015/12/15 00:00:00,2015/12/15 00:00:00,2015/12/15 00:00:00,.,91.441,91.441,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010275388,0010275388-PRDS-000616,2016/02/10 00:00:00,2016/02/10 00:00:00,2016/02/10 00:00:00,.,89.705,89.705,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010281727,0010281727-PRDS-000616,2016/03/03 00:00:00,2016/03/03 00:00:00,2016/03/03 00:00:00,.,88.768,88.768,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,0010275389,0010275389-PRDS-000616,2016/03/08 00:00:00,2016/03/08 00:00:00,2016/03/08 00:00:00,.,88.989,88.989,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010343353,0010343353-PRDS-000745,2017/08/10 00:00:00,2017/08/10 00:00:00,2017/08/10 00:00:00,.,90.324,90.324,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010343359,0010343359-PRDS-000745,2017/08/17 00:00:00,2017/08/17 00:00:00,2017/08/17 00:00:00,.,90.681,90.681,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010343362,0010343362-PRDS-000745,2017/08/22 00:00:00,2017/08/22 00:00:00,2017/08/22 00:00:00,.,90.425,90.425,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,0010344654,0010344654-PRDS-000745,2017/08/24 00:00:00,2017/08/24 00:00:00,2017/08/24 00:00:00,.,90.614,90.614,%,>=86.3,.,86.750,.,.,.,88.858,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.
