unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,LAL,UAL,LCL,UCL,lrl,url,cl,nel 1,nel 2,nel 3,nel 4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation,spec status,ctrl status
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10254676,0010254676-PRDS-000745,2015/08/21 00:00:00,2015/08/21 00:00:00,2015/08/21 00:00:00,.,89.929,89.929,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10267008,0010267008-PRDS-000745,2015/11/11 00:00:00,2015/11/11 00:00:00,2015/11/11 00:00:00,.,90.84700000000001,90.84700000000001,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10267863,0010267863-PRDS-000745,2015/11/17 00:00:00,2015/11/17 00:00:00,2015/11/17 00:00:00,.,90.041,90.041,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10266787,0010266787-PRDS-000745,2015/12/15 00:00:00,2015/12/15 00:00:00,2015/12/15 00:00:00,.,91.441,91.441,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,10275388,0010275388-PRDS-000616,2016/02/10 00:00:00,2016/02/10 00:00:00,2016/02/10 00:00:00,.,89.705,89.705,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,10281727,0010281727-PRDS-000616,2016/03/03 00:00:00,2016/03/03 00:00:00,2016/03/03 00:00:00,.,88.76799999999999,88.76799999999999,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000616,10275389,0010275389-PRDS-000616,2016/03/08 00:00:00,2016/03/08 00:00:00,2016/03/08 00:00:00,.,88.98899999999999,88.98899999999999,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10343353,0010343353-PRDS-000745,2017/08/10 00:00:00,2017/08/10 00:00:00,2017/08/10 00:00:00,.,90.324,90.324,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10343359,0010343359-PRDS-000745,2017/08/17 00:00:00,2017/08/17 00:00:00,2017/08/17 00:00:00,.,90.681,90.681,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
DP-IEDL:ADL2-ADL,.,Product purity by CEX-HPLC - Main Peak,PRDS-000745,10343362,0010343362-PRDS-000745,2017/08/22 00:00:00,2017/08/22 00:00:00,2017/08/22 00:00:00,.,90.425,90.425,%,86.3,.,86.75,.,.,.,88.85799999999999,YES,YES,YES,YES,Y,E,.,.,.,LIN,.,.,NUMBER,SMLIMS,.,.,.,-1,-1
