unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,LAL,UAL,LCL,UCL,lrl,ucl.1,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation,spec status,ctrl status
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10234421,10234421,1/12/2015 0:00,1/8/2015 0:00,1/12/2015 0:00,.,242,242.0,ng CHO protein per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10234440,10234440,1/19/2015 0:00,1/13/2015 0:00,1/19/2015 0:00,.,350,350.0,ng CHO protein per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10234441,10234441,1/24/2015 0:00,1/18/2015 0:00,1/24/2015 0:00,.,332,332.0,ng CHO protein per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10040871,10040871,10/16/2009 0:00,9/11/2009 0:00,10/16/2009 0:00,.,261,261.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,033P074958,033P074958,10/2/2006 0:00,10/2/2006 0:00,10/2/2006 0:00,.,272,272.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,033P086161,033P086161,10/21/2006 0:00,10/21/2006 0:00,10/21/2006 0:00,.,286,286.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10111218,10111218,11/20/2011 0:00,11/15/2011 0:00,11/20/2011 0:00,.,422,422.0,ng CHO protein per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,033P086180,033P086180,11/3/2006 0:00,11/3/2006 0:00,11/3/2006 0:00,.,371,371.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,10042987,10042987,11/5/2009 0:00,10/5/2009 0:00,11/5/2009 0:00,.,181,181.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
PRJU:APR6-DS-AML,.,CHO Proteins Immunoassay,PRDS-000418,033P087450,033P087450,11/9/2007 0:00,11/9/2007 0:00,11/9/2007 0:00,.,385,385.0,ng CHO Proteins per mg darbepoetin alfa,.,632.0,.,.,.,.,.,Y,Y,Y,Y,Y,E,.,.,.,LIN,.,.,Number,AML-LIMS,.,.,.,1,
