unit procedure,sampling point,parameter name,parameter detail,mfg_site_bldg,report_site,edmq_method,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,lal,ual,lcl,ucl,lrl,ucl,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,"Clear, colorless liquid, practically free from particles",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,"Clear, colorless liquid, practically free from particles",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,"Clear, colorless liquid, practically free from particles",0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Appearance,PRDS-001057,IEDL:ADL9,ADL,MET-000286,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,Pass,0.000000000000000,                                        ,.,.,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,<0.144,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,<0.144,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,<0.144,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,<0.1440,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,<0.1440,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,<0.1440,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Bacterial Endotoxins (LAL),PRDS-001057,IEDL:ADL9,ADL,MET-000242,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,<0.1440,0.144000000000000,EU/syringe,.,20.000000000000000,.,.,.,.,.,N,N,N,N,N,I,.,.,.,LIN,.,.,TEXT,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,98.584,98.584000000000000,%,96.400000000000000,.,98.400000000000000,99.000000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,98.519,98.519000000000000,%,96.400000000000000,.,98.400000000000000,99.000000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,98.546,98.546000000000000,%,96.400000000000000,.,98.400000000000000,99.000000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,98.875,98.875000000000000,%,96.400000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,98.705,98.705000000000000,%,96.400000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,98.537,98.537000000000000,%,96.400000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,98.588,98.588000000000000,%,96.400000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,1.415,1.415000000000000,%,.,3.600000000000000,1.000000000000000,1.600000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,1.480,1.480000000000000,%,.,3.600000000000000,1.000000000000000,1.600000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,1.453,1.453000000000000,%,.,3.600000000000000,1.000000000000000,1.600000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,1.125,1.125000000000000,%,.,3.600000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,1.295,1.295000000000000,%,.,3.600000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,1.463,1.463000000000000,%,.,3.600000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,CE-HPLC Total Pre Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000951,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,1.412,1.412000000000000,%,.,3.600000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,101.04,101.040000000000000,% specific activity,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
