unit procedure,sampling point,parameter name,parameter detail,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,lal,ual,lcl,ucl,lrl,ucl,cl,nel1,nel2,nel3,nel4,ppk,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Max,PRDS-002051,0010318052,0010318052,2016-11-23 00:00:00,2016-11-23 00:00:00,2016-11-23 00:00:00,.,0,0.000000000000000,minutes,.,<=3,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Max,PRDS-002051,0010335521,0010335521,2017-04-21 00:00:00,2017-04-10 00:00:00,2017-04-21 00:00:00,.,0,0.000000000000000,minutes,.,<=3,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Max,PRDS-002051,0010348350,0010348350,2017-08-25 00:00:00,2017-08-25 00:00:00,2017-08-25 00:00:00,.,1,1.000000000000000,minutes,.,<=3,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Max,PRDS-002051,0010363368,0010363368,2018-02-09 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,.,1,1.000000000000000,minutes,.,<=3,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Max,PRDS-002051,0010363369,0010363369,2018-07-06 00:00:00,2018-03-06 00:00:00,2018-07-06 00:00:00,.,0,0.000000000000000,minutes,.,<=3,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Mean,PRDS-002051,0010275799,0010275799,2015-11-28 00:00:00,2015-11-28 00:00:00,2015-11-28 00:00:00,.,0,0.000000000000000,minutes,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Mean,PRDS-002051,0010318052,0010318052,2016-11-23 00:00:00,2016-11-23 00:00:00,2016-11-23 00:00:00,.,0,0.000000000000000,minutes,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Mean,PRDS-002051,0010335521,0010335521,2017-04-21 00:00:00,2017-04-10 00:00:00,2017-04-21 00:00:00,.,0,0.000000000000000,minutes,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Mean,PRDS-002051,0010348350,0010348350,2017-08-25 00:00:00,2017-08-25 00:00:00,2017-08-25 00:00:00,.,0,0.000000000000000,minutes,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
BIP-DE-PRDS-002051-ADL,.,Reconstitution Time - Mean,PRDS-002051,0010363368,0010363368,2018-02-09 00:00:00,2018-02-09 00:00:00,2018-02-09 00:00:00,.,0,0.000000000000000,minutes,.,.,.,.,.,.,.,Y,Y,Y,Y,Y,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
